Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,413,5178.41,0.0,0.0,417.82,0.0,0.0,0.00,5178.41,0.0
Credit/debit,,6209,96194.45,9396.71,0.0,7666.72,0.0,0.0,9396.71,105591.16,10.5
Credit/debit,AMEX,336,5688.96,579.62,0.0,458.62,0.0,0.0,579.62,6268.58,11.0
Credit/debit,DISCOVER,174,2550.86,225.33,0.0,205.51,0.0,0.0,225.33,2776.19,9.6
Credit/debit,MASTERCARD,1032,15636.27,1546.22,0.0,1260.73,0.0,0.0,1546.22,17182.49,10.6
Credit/debit,VISA,4667,72318.36,7045.54,0.0,5741.86,0.0,0.0,7045.54,79363.90,10.5
Gift Card,,21,336.22,23.94,0.0,27.03,0.0,0.0,23.94,360.16,7.2
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,6643,101709.08,9420.65,0.0,8111.57,0.0,0.0,9420.65,111129.73,10.0
Deposit Sales Collected,,,,,,,,,,330.0,
Total,,,,,,,,,,111459.73,
