yyyyMMdd,Net sales,Total orders,Total guests
20260501,3124.61,242,242
20260502,4093.51,276,276
20260503,4086.57,258,258
20260504,2225.88,178,178
20260505,2025.98,161,161
20260506,2487.75,174,174
20260507,2546.37,197,197
20260508,3321.66,243,243
20260509,3929.57,239,239
20260510,3777.25,247,247
20260511,2329.43,171,171
20260512,2153.89,163,163
20260513,2008.43,175,175
20260514,2150.42,173,173
20260515,2606.75,204,204
20260516,3144.08,207,207
20260517,3661.58,246,246
20260518,1971.30,156,156
20260519,1788.50,153,153
20260520,2167.90,158,158
20260521,2324.25,178,178
20260522,4992.05,360,360
20260523,5004.75,304,304
20260524,4215.78,250,250
20260525,2819.40,206,206
20260526,2321.21,168,168
20260527,2340.83,180,180
20260528,2484.54,191,191
20260529,3949.77,316,316
20260530,3352.68,231,231
20260531,4053.90,296,296
